Scenario,k,M,Data,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,file
2,5,50,real,0.8241559899394,0.14718949494360614,0.7928571428571429,0.04914230342988166,0.7977460025249423,0.05319047631043279,scenario2_k5_M50_real.json
2,5,50,synthetic,0.16585118530738832,0.13464371115174417,0.40714285714285714,0.09943149056105287,0.2080483087114542,0.14901284271461715,scenario2_k5_M50_synthetic.json
2,5,86,real,0.6569843076565919,0.251837036664591,0.780952380952381,0.07882354932022308,0.6960749417014382,0.18729348948678765,scenario2_k5_M86_real.json
2,5,86,synthetic,0.3234648642320383,0.17388560775747394,0.3928571428571429,0.2163917670000336,0.3138755013683595,0.1539105027403333,scenario2_k5_M86_synthetic.json
2,10,50,real,0.8453719892952721,0.17453760835107895,0.8440476190476189,0.0591536107085945,0.8333236356319633,0.09419942528487482,scenario2_k10_M50_real.json
2,10,50,synthetic,0.43470141186321964,0.30517266053335645,0.49404761904761907,0.19743608857120012,0.35800057386593437,0.2210913433102187,scenario2_k10_M50_synthetic.json
2,10,86,real,0.7259384220234315,0.23111263535106188,0.8238095238095238,0.049026810195176206,0.7512844390142556,0.1571998641926223,scenario2_k10_M86_real.json
2,10,86,synthetic,0.5009615810729102,0.21725939954139395,0.5726190476190476,0.198095381181267,0.48549051659692005,0.14357497088254134,scenario2_k10_M86_synthetic.json
3,5,50,real,0.2449802398653275,0.36113248982913543,0.3024663677130045,0.11743914331222767,0.13406442334235671,0.07814742442015164,scenario3_k5_M50_real.json
3,5,50,synthetic,0.45277981306140636,0.36702731770575997,0.4134529147982063,0.1186973576788552,0.3288265760693254,0.2039822921191888,scenario3_k5_M50_synthetic.json
3,5,86,real,0.038343976059823384,0.030280047111678917,0.22780269058295963,0.1693491687133894,0.06012941925333456,0.04127567078575667,scenario3_k5_M86_real.json
3,5,86,synthetic,0.6260989231943238,0.39449422988309163,0.39618834080717485,0.15717408826392806,0.38813386042249787,0.20479798299856106,scenario3_k5_M86_synthetic.json
3,10,50,real,0.15746225197614921,0.22902648402819933,0.2948430493273543,0.1716367346878961,0.13393132557831544,0.10268277698863149,scenario3_k10_M50_real.json
3,10,50,synthetic,0.6723353695946097,0.30324243601144785,0.47544843049327357,0.11447220431062624,0.5137909684311561,0.18683335668011006,scenario3_k10_M50_synthetic.json
3,10,86,real,0.25339815379969044,0.3058553212669377,0.2922645739910314,0.20100121533970577,0.1559159434499213,0.13758898306058281,scenario3_k10_M86_real.json
3,10,86,synthetic,0.9024771994560185,0.0983690931123392,0.4615470852017937,0.10095669625882012,0.6000070687361703,0.08750581274624365,scenario3_k10_M86_synthetic.json
