state,P1_FT01,P1_FT02,P1_FT03,P1_PIT01,P1_PIT02,P1_LIT01,P1_TIT01,P1_TIT02,P2_SIT01,P2_VT01,P3_FIT01,P3_LIT01,P3_PIT01,P4_HT_FD,P4_HT_LD,P4_HT_PO,P4_HT_PS,P4_ST_FD,P4_ST_LD,P4_ST_PO,P4_ST_PS,P4_ST_PT01,P4_ST_TT01
"(np.float64(15.0), np.float64(80.0), np.float64(65.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.45,0.20000000000000007,0.55,0.44999999999999996,0.15000000000000002,0.75,0.5,0.6,1.0,0.2,0.85,0.75,0.6,0.5,0.5,0.5,0.5,0.55,0.5,0.75,0.5,0.44999999999999996,0.4
"(np.float64(20.0), np.float64(30.0), np.float64(50.0), np.float64(10.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.3142857142857143,1.0,1.0,0.8,0.8,1.0,1.0,1.0,0.5142857142857143,0.6857142857142857,0.7714285714285715,0.8,0.9428571428571428,0.5142857142857142,0.7428571428571429,0.8571428571428572,0.0,0.2,0.3428571428571429,0.4857142857142857,0.0,0.8,0.6857142857142857
"(np.float64(15.0), np.float64(40.0), np.float64(65.0), np.float64(15.0), np.float64(80.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.8214285714285714,0.6428571428571429,0.7857142857142857,0.7857142857142857,0.26190476190476186,0.7857142857142857,1.0,1.0,0.9642857142857143,0.6785714285714286,0.9642857142857143,0.5357142857142857,0.9642857142857143,0.5,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.6785714285714286,0.7857142857142857,0.75,0.7857142857142857,0.7857142857142857,1.0
"(np.float64(15.0), np.float64(50.0), np.float64(65.0), np.float64(15.0), np.float64(85.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",1.0,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,0.4285714285714286,0.8571428571428572,1.0,1.0,0.0,0.5,1.0,1.0,0.0,1.0,1.0
"(np.float64(15.0), np.float64(25.0), np.float64(50.0), np.float64(5.0), np.float64(40.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.5714285714285714,0.8333333333333334,1.0,1.0,1.0,0.7380952380952381,1.0,1.0,1.0,0.7380952380952381,0.9047619047619048,0.7142857142857143,0.9523809523809523,0.8571428571428571,1.0,1.0,0.0,0.8571428571428571,1.0,1.0,0.0,0.7380952380952381,1.0
"(np.float64(85.0), np.float64(0.0), np.float64(55.0), np.float64(10.0), np.float64(60.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",1.0,0.42760942760942766,0.14814814814814814,1.0,0.5353535353535354,1.0,1.0,1.0,0.563973063973064,0.36363636363636365,1.0,1.0,0.7474747474747475,0.3653198653198653,0.6784511784511784,0.8905723905723906,0.0,0.1515151515151515,0.5151515151515151,0.696969696969697,0.0,0.35185185185185186,0.0
"(np.float64(20.0), np.float64(5.0), np.float64(50.0), np.float64(10.0), np.float64(45.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.4166666666666667,0.4444444444444444,1.0,0.7777777777777778,0.5555555555555556,1.0,1.0,1.0,0.4444444444444444,0.33333333333333337,1.0,1.0,0.5,0.41666666666666663,0.8888888888888888,1.0,0.0,0.5,0.6666666666666667,0.4444444444444444,0.0,0.2222222222222222,1.0
"(np.float64(15.0), np.float64(45.0), np.float64(65.0), np.float64(15.0), np.float64(90.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.8461538461538461,0.8857142857142857,1.0,0.8461538461538461,0.7142857142857143,1.0,1.0,1.0,0.8461538461538461,0.454945054945055,0.5714285714285714,1.0,0.6747252747252748,0.3318681318681319,0.37142857142857144,0.4461538461538461,0.0,0.20439560439560445,0.8461538461538461,0.8461538461538461,0.0,0.8461538461538461,1.0
"(np.float64(100.0), np.float64(0.0), np.float64(55.0), np.float64(10.0), np.float64(80.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.2852907672985367,0.24930630604316972,0.3647223763764348,0.2837573385518591,0.4982329059204954,1.0,1.0,1.0,0.33243274819639573,0.2871308817945497,0.3075765984169173,0.8731343283582089,0.3408447001781698,0.18954639717264943,0.23338785524432637,0.32251657563454744,0.0,0.09218097380027457,0.24288050939042555,0.302582001927739,0.0,0.24658994654905514,1.0
"(np.float64(0.0), np.float64(95.0), np.float64(70.0), np.float64(15.0), np.float64(100.0), np.float64(10.0), np.float64(100.0), np.float64(0.0), np.float64(1.0))",0.9150905432595573,0.2703219315895372,0.8798792756539235,1.0,0.07937625754527163,1.0,1.0,0.852112676056338,0.7769617706237424,0.24285714285714288,0.4995975855130784,0.926056338028169,0.9929577464788732,0.23893360160965793,0.29225352112676056,0.33098591549295775,1.0,0.12273641851106643,0.4886317907444668,0.46358148893360157,1.0,0.7941649899396378,0.10915492957746478
