Scenario,Model,Avg Precision,Avg Recall,Avg Runtime (s),Avg Memory (MB),Folds
1,OCSVM,0.11231933875580655,0.1373493975887066,3.7954487800598145,-2.2102016,5
1,LOF,0.23503545102821105,0.0963855421675134,60.97640314102173,18.16576,5
1,EllipticEnvelope,0.19889811243188077,0.10602409638426476,28.405623292922975,2.0553728,5
2,SVM,0.9833593196194022,0.9662650602293222,0.36135406494140626,-0.35962879999999997,5
2,kNN,0.9765088450747029,0.9662650602293222,0.06353731155395502,3.5053568,5
2,RandomForest,0.9766250150068394,0.9759036144460735,3.358448600769043,0.26624,5
2,CNN,0.95387939420898,0.8783783783665082,248.08077883720398,119.7760512,5
3,SVM,0.9983779772695434,0.9647457627107743,0.3592047691345215,-0.9486336,5
3,kNN,0.9985747207326078,0.9360451977390554,0.13524656295776366,3.5160063999999998,5
3,RandomForest,0.9990577149575465,0.9184180790950075,2.6914608478546143,0.43663359999999996,5
3,CNN,0.8868009836325896,0.8827822120856524,241.67410745620728,118.86592,5
1,Ensemble_random,0.14408999515352747,0.10843373493845261,,,5
1,Ensemble_majority,0.26628640267440085,0.11807228915520396,,,5
1,Ensemble_all,0.7496764345905019,0.08192771084238641,,,5
2,Ensemble_random,0.9834453781392533,0.9710843373376978,,,5
2,Ensemble_majority,0.9765088450747028,0.9662650602293222,,,5
2,Ensemble_all,0.9833593196194022,0.9662650602293222,,,5
3,Ensemble_random,0.9990438451669339,0.9333333333322787,,,5
3,Ensemble_majority,0.9990532544366786,0.9468926553661617,,,5
3,Ensemble_all,0.9995133819938655,0.8903954802249826,,,5
