Feature,Importance,Rank,Std_Dev
z3,0.5473717153222504,1,0.00720649937766743
z12,0.5368090815968238,2,0.012726718685916183
z11,0.532239324118615,3,0.009225912727923669
z9,0.5126043412916634,4,0.010698316554330956
z13,0.4441651112197331,5,0.01738344551201093
z18,0.438741496255242,6,0.0009304775096313223
z5,0.4229509284544115,7,0.015267106591983437
z7,0.1788067517813407,8,0.012765029168426034
z6,0.17672716993018076,9,0.004480407612005494
z17,0.17341362890886414,10,0.01410524610139842
z8,0.16959329571876502,11,0.01745187086711715
z10,0.15777278458535865,12,0.015005970410664884
z14,0.0860295552915413,13,0.006943263798975363
z0,0.0736447815024561,14,0.005194495616891816
z15,0.0660864402141204,15,0.015727749548255232
z1,0.05185890162432211,16,0.01347611735384371
z2,0.04513625032745952,17,0.008717226904439684
z4,0.011725725022202803,18,0.006012323567725163
z16,-0.00039640055427352366,19,0.005714390314475226
z19,-0.0007003211726258063,20,0.0038373026992902237
