Feature,Importance,Rank,Std_Dev
z0,0.5673193047982759,1,0.004921329246266926
z5,0.49649840794863187,2,0.00570741890537918
z13,0.44274956695404327,3,0.0066886130998148885
z7,0.39396278994381445,4,0.0011008189648339384
z17,0.38201994408669115,5,0.0033439479294748164
z18,0.31991285752851895,6,0.0024912506920789224
z8,0.31525358387559044,7,0.006466865750589967
z19,0.3092427178036061,8,0.007408493854573511
z3,0.287011980940088,9,0.009134960183965146
z12,0.28631377759247356,10,0.015150275167320454
z10,0.26403443514852165,11,0.010757647384657842
z9,0.22989866497845182,12,0.0008061082018347154
z6,0.21950312771681557,13,0.010082838248386558
z14,0.17492430089506977,14,0.002293445235627675
z11,0.1413365840318832,15,0.001954936326901316
z4,0.13761596243670826,16,0.007752619381737602
z2,0.12845563255164788,17,0.004500895868066651
z1,0.11265315928587644,18,0.01292065893061195
z16,0.09557082104165669,19,0.0001839020679843678
z15,0.08236328027448189,20,0.00013309471614417895
